step,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
608,4775.59,C60093576,205278.0,200502.41,M1756426094,0.0,0.0,0,0,0,0,1,0
149,661558.27,C644461702,661558.27,0.0,C1700734681,0.0,0.0,1,0,0,0,0,1
84,152331.26,C397720555,152331.26,0.0,C1006668962,0.0,0.0,1,0,0,0,0,1
667,71554.74,C118393699,71554.74,0.0,C1077131612,0.0,0.0,1,0,0,0,0,1
719,119306.06,C1199258183,119306.06,0.0,C136557058,4040.44,123346.5,1,0,1,0,0,0
317,241337.83,C1999586448,241337.83,0.0,C532302073,0.0,0.0,1,0,0,0,0,1
465,563388.67,C1205919663,563388.67,0.0,C1646816538,0.0,563388.67,1,0,1,0,0,0
195,601657.23,C1023699777,601657.23,0.0,C14537324,0.0,0.0,1,0,0,0,0,1
66,548269.98,C172609143,548269.98,0.0,C106756368,0.0,0.0,1,0,0,0,0,1
36,23381.45,C1515730591,0.0,0.0,M1062799496,0.0,0.0,0,0,0,0,1,0
210,296784.16,C263294775,51557.0,0.0,C140546039,2125132.77,2421916.94,0,0,1,0,0,0
6,25975.86,C1004271827,25975.86,0.0,C451934410,98152.0,28041.27,1,0,1,0,0,0
58,109525.67,C924291724,109525.67,0.0,C1035427073,3997342.61,4106868.28,1,0,1,0,0,0
305,150502.0,C1080720566,277.0,0.0,C1975579767,585926.24,736428.24,0,0,1,0,0,0
705,353090.95,C793449159,353090.95,0.0,C985064489,257783.54,610874.48,1,0,1,0,0,0
60,40486.25,C1413149184,40486.25,0.0,C713338583,4716889.9,4757376.15,1,0,1,0,0,0
158,160642.88,C1098817626,50351.0,0.0,C1131808923,895488.9,1056131.78,0,0,1,0,0,0
113,314976.75,C1426238541,314976.75,0.0,C1844764080,0.0,314976.75,1,0,1,0,0,0
71,14385.54,C706829068,14385.54,0.0,C1684593692,0.0,0.0,1,0,0,0,0,1
737,190100.29,C2010561147,190100.29,0.0,C493481866,848487.62,1038587.91,1,0,1,0,0,0
178,180637.49,C1118104949,0.0,0.0,C2022543056,2469812.02,2650449.5,0,0,1,0,0,0
439,112656.24,C260785530,112656.24,0.0,C1654926688,0.0,0.0,1,0,0,0,0,1
153,234853.95,C1944993034,234853.95,0.0,C2019813234,0.0,0.0,1,0,0,0,0,1
645,214760.72,C1925284457,214760.72,0.0,C2048290400,0.0,0.0,1,0,0,0,0,1
363,692895.24,C2142345212,692895.24,0.0,C1337488224,0.0,0.0,1,0,0,0,0,1
6,30521.02,C1813769162,30521.02,0.0,C1249547869,0.0,30521.02,1,0,1,0,0,0
535,72878.02,C1068111301,72878.02,0.0,C124815861,0.0,0.0,1,0,0,0,0,1
161,219852.61,C1636326733,9905.0,0.0,C2027490297,399375.35,619227.95,0,0,1,0,0,0
102,656118.37,C203547819,656118.37,0.0,C1137673642,0.0,0.0,1,0,0,0,0,1
240,103949.5,C259198981,103949.5,0.0,C837253504,0.0,103949.5,1,0,1,0,0,0
484,26654.46,C755286039,26654.46,0.0,C2094079166,0.0,0.0,1,0,0,0,0,1
185,2091.66,C2084772312,0.0,0.0,M1251557718,0.0,0.0,0,0,0,0,1,0
158,15615.51,C1641308993,31090.0,15474.49,M1110244264,0.0,0.0,0,0,0,0,1,0
37,16071.09,C788544633,0.0,0.0,M1744398061,0.0,0.0,0,0,0,0,1,0
736,537539.57,C1804356625,537539.57,0.0,C1581411164,8034.16,545573.72,1,0,1,0,0,0
308,178180.03,C455134566,178180.03,0.0,C790415785,114156.1,292336.13,1,0,1,0,0,0
381,135636.92,C704901228,0.0,0.0,C1737693008,172228.81,307865.74,0,0,1,0,0,0
9,328105.44,C1084565390,0.0,0.0,C34016358,396093.28,385750.42,0,0,1,0,0,0
328,364375.51,C1765014536,364375.51,0.0,C2037810492,0.0,0.0,1,0,0,0,0,1
346,67650.5,C2130264211,0.0,0.0,C1754181764,224963.04,292613.54,0,0,1,0,0,0
358,27258.37,C1024024398,199399.14,172140.77,M1172958916,0.0,0.0,0,0,0,0,1,0
403,1056.72,C307606599,0.0,0.0,C1784710566,1396802.45,1397859.17,0,0,0,1,0,0
162,11897.11,C855097240,13531.0,1633.89,M1993774387,0.0,0.0,0,0,0,0,1,0
90,134515.36,C1389046188,134515.36,0.0,C257288692,29488.06,164003.41,1,0,1,0,0,0
655,253648.68,C1000036340,253648.68,0.0,C1958275811,0.0,0.0,1,0,0,0,0,1
735,92735.71,C786761311,92735.71,0.0,C570188819,921583.3,1014319.01,1,0,1,0,0,0
33,2922.96,C959577353,4101.0,1178.04,M1731723149,0.0,0.0,0,0,0,0,1,0
522,101408.84,C411677025,101408.84,0.0,C1526938808,0.0,0.0,1,0,0,0,0,1
15,290733.31,C97199215,34661.26,0.0,C1981839580,2703205.47,2993938.78,0,0,1,0,0,0
169,310712.71,C1052841054,310712.71,0.0,C1814696637,0.0,310712.71,1,0,1,0,0,0
688,676913.69,C1681616324,676913.69,0.0,C624338694,2202695.62,2879609.32,1,0,1,0,0,0
289,37974.85,C45718211,37974.85,0.0,C1371920863,939922.78,977897.62,1,0,1,0,0,0
400,34206.74,C2092786486,20712.0,0.0,M852722127,0.0,0.0,0,0,0,0,1,0
37,93083.27,C517122648,93083.27,0.0,C839403720,2466124.85,2559208.13,1,0,1,0,0,0
635,344673.46,C87393659,344673.46,0.0,C1571788325,0.0,344673.46,1,0,1,0,0,0
156,773696.12,C1433143249,773696.12,0.0,C2122364089,0.0,773696.12,1,0,1,0,0,0
109,177344.53,C950814543,177344.53,0.0,C1505728182,0.0,0.0,1,0,0,0,0,1
733,905919.58,C1435012203,905919.58,0.0,C450820106,0.0,0.0,1,0,0,0,0,1
160,352444.8,C2028561908,62596.0,0.0,C162637432,604460.5,956905.3,0,0,0,0,0,1
132,208298.6,C992481540,37931.0,0.0,C58990467,3932563.34,4140861.93,0,0,1,0,0,0
487,882637.83,C467131548,882637.83,0.0,C170544554,0.0,0.0,1,0,0,0,0,1
141,370382.39,C355611635,370382.39,0.0,C137763659,0.0,0.0,1,0,0,0,0,1
576,28284.88,C1126995065,28284.88,0.0,C1039822411,477021.43,505306.31,1,0,1,0,0,0
