step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
155,364473.37,0.0,0.0,813189.64,1177663.01,0,1,0,0,0,0
139,307677.18,28425.0,0.0,109724.56,442697.16,0,1,0,0,0,0
342,348952.97,348952.97,0.0,203323.19,552276.17,0,1,0,0,0,1
43,112296.16,0.0,0.0,640299.19,752595.34,0,1,0,0,0,0
439,306419.73,306419.73,0.0,0.0,0.0,0,0,0,0,1,1
259,248071.56,248071.56,0.0,0.0,0.0,0,0,0,0,1,1
738,108240.74,108240.74,0.0,0.0,0.0,0,0,0,0,1,1
162,188541.7,254395.0,65853.3,76378.49,264920.19,0,1,0,0,0,0
90,134515.36,134515.36,0.0,0.0,0.0,0,0,0,0,1,1
205,2229.48,224764.4,222534.92,0.0,0.0,0,0,0,1,0,0
40,31930.24,31930.24,0.0,0.0,0.0,0,0,0,0,1,1
357,37872.61,0.0,0.0,0.0,0.0,0,0,0,1,0,0
210,49292.03,218642.7,169350.67,375145.41,424437.44,0,1,0,0,0,0
20,460190.67,0.0,0.0,482187.54,942378.21,0,1,0,0,0,0
40,264158.56,0.0,264158.56,373358.25,109199.69,0,0,0,0,0,0
352,193647.11,100229.0,293876.11,3707731.02,3514083.91,0,0,0,0,0,0
456,13914.81,13914.81,0.0,1495380.79,1509295.6,0,1,0,0,0,1
6,114634.43,0.0,0.0,786884.41,901518.84,0,1,0,0,0,0
719,479926.98,479926.98,0.0,71009.24,550936.23,0,1,0,0,0,1
158,7399.84,0.0,0.0,403309.61,272409.71,0,1,0,0,0,0
308,3577.59,0.0,0.0,0.0,0.0,0,0,0,1,0,0
179,108705.76,16233.0,0.0,105173.38,213879.14,0,1,0,0,0,0
595,418620.04,23988.0,0.0,0.0,418620.04,0,1,0,0,0,0
553,254528.76,254528.76,0.0,380985.06,635513.82,0,1,0,0,0,1
11,12461.0,12461.0,0.0,0.0,0.0,0,0,0,0,1,1
275,513082.74,513082.74,0.0,0.0,0.0,0,0,0,0,1,1
348,31374.02,31374.02,0.0,0.0,31374.02,0,1,0,0,0,1
583,1583.28,1583.28,0.0,826666.86,828250.14,0,1,0,0,0,1
186,16403.4,101291.0,84887.6,0.0,0.0,0,0,0,1,0,0
55,309254.05,309254.05,0.0,218535.44,527789.5,0,1,0,0,0,1
307,16734.61,16734.61,0.0,0.0,16734.61,0,1,0,0,0,1
158,22818.58,0.0,0.0,0.0,0.0,0,0,0,1,0,0
165,131314.52,41378.0,0.0,481084.43,612398.94,0,1,0,0,0,0
16,24161.14,277848.16,302009.3,520327.24,673339.31,0,0,0,0,0,0
322,365114.84,365114.84,0.0,89333.98,454448.82,0,1,0,0,0,1
712,135977.23,135977.23,0.0,0.0,0.0,0,0,0,0,1,1
609,228706.19,228706.19,0.0,0.0,0.0,0,0,0,0,1,1
19,151047.53,0.0,0.0,192206.33,477903.18,0,1,0,0,0,0
255,6087.33,59659.0,53571.67,0.0,0.0,0,0,0,1,0,0
255,147665.31,0.0,0.0,1797105.31,1942584.0,0,1,0,0,0,0
139,375141.86,375141.86,0.0,124753.19,252008.88,0,1,0,0,0,1
179,229403.55,20697.0,250100.55,0.0,0.0,0,0,0,0,0,0
141,455372.54,455372.54,0.0,0.0,0.0,0,0,0,0,1,1
181,2715.87,10911.0,8195.13,0.0,0.0,0,0,0,1,0,0
350,362536.85,260692.83,0.0,604034.79,966571.64,0,1,0,0,0,0
249,299298.5,299298.5,0.0,0.0,0.0,0,0,0,0,1,1
55,167715.53,167715.53,0.0,492360.21,660075.73,0,1,0,0,0,1
689,291527.75,291527.75,0.0,0.0,0.0,0,0,0,0,1,1
204,4998.12,94714.95,89716.83,0.0,0.0,0,0,0,1,0,0
156,179391.43,67701.0,0.0,0.0,179391.43,0,1,0,0,0,0
481,190215.18,190215.18,0.0,0.0,190215.18,0,1,0,0,0,1
169,286306.33,286306.33,0.0,0.0,0.0,0,0,0,0,1,1
400,460689.45,460689.45,0.0,0.0,0.0,0,0,0,0,1,1
300,774761.84,774761.84,0.0,0.0,0.0,0,0,0,0,1,1
461,125153.57,125153.57,0.0,0.0,0.0,0,0,0,0,1,1
209,153214.38,977.0,0.0,0.0,153214.38,0,1,0,0,0,0
46,71372.0,71372.0,0.0,613464.04,684836.04,0,1,0,0,0,1
15,2156.17,21290.0,19133.83,0.0,0.0,0,0,0,1,0,0
393,7887.62,0.0,0.0,0.0,0.0,0,0,0,1,0,0
601,414973.48,414973.48,0.0,331305.86,746279.34,0,1,0,0,0,1
161,161456.22,431.0,0.0,2884815.84,3046272.06,0,1,0,0,0,0
599,1074.81,1074.81,0.0,0.0,0.0,0,0,0,0,1,1
162,8826.59,199551.0,190724.41,0.0,0.0,0,0,0,1,0,0
